Account Name,Account Type,Detail Type,Account Number,Description
Checking - Operating,Bank,Checking,10000,Primary operating checking account
Checking - Payroll,Bank,Checking,10100,Dedicated payroll account
Savings - Reserve,Bank,Savings,10200,Cash reserve account
Money Market,Bank,Money Market,10300,Money market account
Petty Cash,Bank,Cash on hand,10500,Petty cash fund
Accounts Receivable,Accounts Receivable,Accounts Receivable,11000,Trade receivables
Retention Receivable,Other Current Assets,Other Current Assets,11200,Retention held by customers
Allowance for Doubtful Accounts,Other Current Assets,Allowance for Bad Debts,11500,Reserve for uncollectible AR
Inventory - Materials,Other Current Assets,Inventory,12000,Materials inventory
Costs in Excess of Billings,Other Current Assets,Other Current Assets,12500,Under-billing - WIP asset
Employee Advances,Other Current Assets,Employee Cash Advances,12600,Advances to employees
Prepaid Insurance,Other Current Assets,Prepaid Expenses,12710,Prepaid insurance premiums
Prepaid Rent,Other Current Assets,Prepaid Expenses,12720,Prepaid rent
Prepaid Other,Other Current Assets,Prepaid Expenses,12730,Other prepaid expenses
Deposits,Other Current Assets,Other Current Assets,12800,Security and other deposits
Land,Fixed Assets,Land,15000,Land owned
Buildings,Fixed Assets,Buildings,15100,Buildings owned
Accumulated Depreciation - Buildings,Fixed Assets,Accumulated Depreciation,15150,Accumulated depreciation - buildings
Leasehold Improvements,Fixed Assets,Leasehold Improvements,15200,Leasehold improvements
Accumulated Depreciation - Leasehold,Fixed Assets,Accumulated Depreciation,15250,Accumulated depreciation - leasehold
Vehicles,Fixed Assets,Vehicles,15300,Company vehicles
Accumulated Depreciation - Vehicles,Fixed Assets,Accumulated Depreciation,15350,Accumulated depreciation - vehicles
Equipment - Heavy,Fixed Assets,Machinery & Equipment,15400,Heavy construction equipment
Accumulated Depreciation - Heavy Equipment,Fixed Assets,Accumulated Depreciation,15450,Accumulated depreciation - heavy equipment
Equipment - Small Tools,Fixed Assets,Machinery & Equipment,15500,Small tools and equipment
Accumulated Depreciation - Small Equipment,Fixed Assets,Accumulated Depreciation,15550,Accumulated depreciation - small equipment
Furniture & Fixtures,Fixed Assets,Furniture & Fixtures,15600,Office furniture and fixtures
Accumulated Depreciation - F&F,Fixed Assets,Accumulated Depreciation,15650,Accumulated depreciation - furniture
Security Deposits,Other Assets,Other Long-term Assets,18000,Long-term security deposits
Accounts Payable,Accounts Payable,Accounts Payable,20000,Trade payables
Retention Payable,Other Current Liabilities,Other Current Liabilities,20200,Retention owed to subcontractors
Credit Cards Payable,Credit Card,Credit Card,21000,Credit card balances
Accrued Wages,Other Current Liabilities,Other Current Liabilities,22100,Wages owed but not yet paid
Accrued Payroll Taxes,Other Current Liabilities,Other Current Liabilities,22200,Payroll taxes payable
Accrued Vacation,Other Current Liabilities,Other Current Liabilities,22300,Vacation liability
Accrued Interest,Other Current Liabilities,Other Current Liabilities,22400,Interest payable
Federal Withholding Payable,Other Current Liabilities,Other Current Liabilities,23100,Federal income tax withheld
State Withholding Payable,Other Current Liabilities,Other Current Liabilities,23200,State income tax withheld
FICA Payable,Other Current Liabilities,Other Current Liabilities,23300,Social security and medicare payable
401k Payable,Other Current Liabilities,Other Current Liabilities,23400,401k contributions payable
Sales Tax Payable,Other Current Liabilities,Sales Tax Payable,24000,Sales tax collected
Billings in Excess of Costs,Other Current Liabilities,Other Current Liabilities,24500,Over-billing - WIP liability
Current Portion - Long Term Debt,Other Current Liabilities,Current Portion of Long-term Debt,25000,Current portion of long-term debt
Note Payable - Line of Credit,Long Term Liabilities,Notes Payable,27100,Bank line of credit
Note Payable - Term Loan,Long Term Liabilities,Notes Payable,27200,Bank term loan
Note Payable - Vehicle Loans,Long Term Liabilities,Notes Payable,27300,Vehicle loan balances
Note Payable - Equipment Loans,Long Term Liabilities,Notes Payable,27400,Equipment loan balances
Owner's Capital,Equity,Owner's Equity,30000,Owner's capital account
Additional Paid-In Capital,Equity,Paid-In Capital or Surplus,30500,Additional capital contributions
Owner's Draw,Equity,Owner's Equity,31000,Owner distributions
Retained Earnings,Equity,Retained Earnings,32000,Accumulated earnings
Contract Revenue,Income,Service/Fee Income,40000,Contract revenue - general
Labor Revenue,Income,Service/Fee Income,40100,Contract revenue - labor component
Materials Revenue,Income,Service/Fee Income,40200,Contract revenue - materials component
Subcontractor Revenue,Income,Service/Fee Income,40300,Contract revenue - subcontractor component
Equipment Revenue,Income,Service/Fee Income,40400,Contract revenue - equipment component
Other Contract Revenue,Income,Service/Fee Income,40500,Contract revenue - other
Change Order Revenue,Income,Service/Fee Income,40600,Approved change order revenue
Service Revenue,Income,Service/Fee Income,41000,Non-contract service revenue
T&M Revenue,Income,Service/Fee Income,42000,Time and materials revenue
Equipment Rental Income,Other Income,Other Miscellaneous Income,45100,Income from equipment rental
Scrap Sales,Other Income,Other Miscellaneous Income,45200,Scrap and salvage sales
Rebates and Discounts,Other Income,Other Miscellaneous Income,45300,Vendor rebates and discounts
Miscellaneous Income,Other Income,Other Miscellaneous Income,45400,Other miscellaneous income
Direct Labor - Regular,Cost of Goods Sold,Supplies & Materials - COGS,50110,Direct labor - regular hours
